,ID #,Project-control,General,,,,,,,,,,Villous infarcts ,,,,,,Fetal vascular Malperfusion ,,,,,,Maternal vascular Malperfusion,,,,,,,,,,,,,,,,,,,,,
,,,% TM infarction,% TM infarction,Villous mineral/cm2 at 20x,Villous mineral/cm2 at 20x,% Decidual necrosis,% Decidual necrosis,Acute deciduitis,Acute deciduitis,Chronic deciduitis,Chronic deciduitis,Diffuse perivillous fibrin,Diffuse perivillous fibrin,Chronic Villitis (lymphocyte macrophage) ,Chronic Villitis (lymphocyte macrophage) ,Acute villitis (neutrophils),Acute villitis (neutrophils),Avascular villi - High Grade = 2; Low Grade= 1; insignificant = 0,Avascular villi - High Grade = 2; Low Grade= 1; insignificant = 0,"Fetal Intraluminal fibrin thrombi present =1 (in the stem villlous, chorinic plate vessel, or umbilical cord)","Fetal Intraluminal fibrin thrombi present =1 (in the stem villlous, chorinic plate vessel, or umbilical cord)","Fetal intramural thrombi present = 1 (in the stem villlous, chorinic plate vessel, or umbilical cord)","Fetal intramural thrombi present = 1 (in the stem villlous, chorinic plate vessel, or umbilical cord)",PM arteries in  Decidua Basalis in % ( N=normal PM=persistent muscularization T=thrombus V=vasculiits FN=fibrinoid necrosis ),PM arteries in  Decidua Basalis in % ( N=normal PM=persistent muscularization T=thrombus V=vasculiits FN=fibrinoid necrosis ),MH fetal membrane arteries (Decidua parietalis)  %  (same as persistend muscularization in D basalis),MH fetal membrane arteries (Decidua parietalis)  %  (same as persistend muscularization in D basalis),"Fibrinoid necrosis of vessels  (Decidua Basalis, decidua parietalis, or TS basal plate) Present = 1/location (max 3)","Fibrinoid necrosis of vessels  (Decidua Basalis, decidua parietalis, or TS basal plate) Present = 1/location (max 3)","Acute maternal vasculitis (Uterine, Decidua parietalis, decidua basalis, ts of basal plate) present = 1/site (max 4)","Acute maternal vasculitis (Uterine, Decidua parietalis, decidua basalis, ts of basal plate) present = 1/site (max 4)","intraluminal fibrin thrombi (decidua parietalis, decidua basalis, or uterus) Present = 1/location (max 3)","intraluminal fibrin thrombi (decidua parietalis, decidua basalis, or uterus) Present = 1/location (max 3)",Villous infarcts (see gohst villi),Villous infarcts (see gohst villi),Accelerated Villous Maturation (AVM) - small villi usu w increased syncytial knots (absent=0 present -1),Accelerated Villous Maturation (AVM) - small villi usu w increased syncytial knots (absent=0 present -1),Distal Villous hypoplasia (visual differentiation - same size as AVM but fewer very small tertiary villi and greater intervillous space indicating chronicity),Distal Villous hypoplasia (visual differentiation - same size as AVM but fewer very small tertiary villi and greater intervillous space indicating chronicity),Villous agglutination (MVM &/or chronic villitis),Villous agglutination (MVM &/or chronic villitis),Chronic retroplacental hemorrhage - hemosiderin in basal plate or DB (absent=0 present -1),Chronic retroplacental hemorrhage - hemosiderin in basal plate or DB (absent=0 present -1),% infarcted trophoblastic shell,% infarcted trophoblastic shell
Feature,,,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22
Possible totals,,,100,100,,,100,100,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-4,0-2,0-2,0-1,0-1,0-1,0-1,100,100,100,100,0-3,0-3,0-4,0-4,0-3,0-3,0-1,0-1,0-1,0-1,0-1,0-1,0-1,0-1,0-1,0-1,100,100
,044-107,Mock,0,0,18,22,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,0,0,1,1,1,1,1,1,0,0,0,0
,044-105,Mock,0,0,41,43,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,0,0,0,0,0,0,1,1,2.5,2.5,30,15
,044-108,Mock,11,10,122,115,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,2,2,0,0,0,0,15,13,,,,,,,,,0,0,1,1,0,0,0,0,2,2,70,75
,030-101,ZIKV-DAK,0,0,2,5,0,3,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,,,,,,,,,1,1,1,1,,1,1,0,0,0,15,5
,030-102,ZIKV-DAK,32,30,8,6,0,0,0,0,2,1.5,0,0,2,3,0,0,0,0,0,0,0,0,4,2,,,,,,,,,0,0,0,0,0,0,0,1,1,1,0,15
,030-104,ZIKV-DAK,33,35,35,50,10,10,2,2,1,1,2,2,2,2.5,2,2.5,2,2,2,2,0,0,3,1,,,,,,,,,0,0,0,0,0,0,1,1,1,1,15,15
,044-104,ZIKV-PR,0,0,88,177,0,0,0,0,2,1,0,0,0,1,1,1,0,1,0,0,0,0,16,11,,,,,,,,,0,0,0,0,0,0,0,1,1,1,5,10
,044-103,ZIKV-PR,21,10,72,60,0,0,0,0,0,0,0,0,2,2.5,0,0,0,1,0,0,0,0,2,2,,,,,,,,,0,1,0,1,0,1,2,1,1,1,22,10
,044-102,ZIKV-PR,0,0,52,41,na,na,na,na,na,na,0,0,2,2,0,0,2,2,0,0,0,0,na,na,,,,,,,,,0,0,1,1,1,1,2,1,0,0,2,15
,044-101,ZIKV-PR,0,0,21,30,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,,,,,,,,,0,1,0,1,0,0,0,1,0,0,15,15
